PropertyID,HOA,AppraisedValue,HOI,StreetNumber,City,State,Zip
P123456,200,350000,150,1123,Los Angeles,CA,90001
Q234567,150,280000,120,2456,New York,NY,10001
R345678,100,420000,200,3789,Chicago,IL,60601
S456789,180,320000,130,2987,Houston,TX,77001
T567890,220,380000,180,7654,Phoenix,AZ,85001
U678901,120,300000,140,1321,Philadelphia,PA,19101
V789012,250,450000,220,1852,San Antonio,TX,78201
W890123,170,370000,160,1147,San Diego,CA,92101
X901234,200,340000,160,2369,Dallas,TX,75201
Y012345,150,290000,120,1753,San Jose,CA,95101
Z123456,180,410000,190,2852,Austin,TX,78701
A234567,140,330000,170,1147,Jacksonville,FL,32201
B345678,210,360000,200,1369,Indianapolis,IN,46201
C456789,160,270000,110,1753,Columbus,OH,43201
D567890,190,400000,210,1852,Charlotte,NC,28201